,time,yhat_lower,yhat,yhat_upper,Zip_code
0,1996-04-01,58720.52781599,59709.21455332106,60754.87084520681,28208
1,1996-05-01,58542.82647841159,59627.60577165057,60679.70333285694,28208
2,1996-06-01,58545.22241923772,59627.294917187704,60743.65850467479,28208
3,1996-07-01,58728.81855395572,59769.37049403068,60863.84209080051,28208
4,1996-08-01,58902.30832369966,60013.4296215839,61068.45369347564,28208
5,1996-09-01,59190.451415167045,60281.81358179548,61361.715706961324,28208
6,1996-10-01,59310.32522220998,60372.83363884058,61447.83643099527,28208
7,1996-11-01,59315.41224048042,60405.0202392602,61460.27000470675,28208
8,1996-12-01,59370.68929512812,60498.719943965574,61500.217961665454,28208
9,1997-01-01,59398.33747751748,60503.21196048995,61542.048547856546,28208
10,1997-02-01,59532.99159354391,60632.24633668754,61662.47528529797,28208
11,1997-03-01,59854.99236605657,60898.138259449166,61942.52171460089,28208
12,1997-04-01,59787.256849257916,60899.23800213052,62040.054050013365,28208
13,1997-05-01,59657.16429891614,60768.70098850649,61820.53777009921,28208
14,1997-06-01,59742.655652522226,60824.24444338508,61861.23814171869,28208
15,1997-07-01,59955.94675845228,60980.80476912255,62016.5173595673,28208
16,1997-08-01,60074.425198573015,61207.30757403608,62232.07462604652,28208
17,1997-09-01,60304.285904602264,61375.61074883923,62359.944308334554,28208
18,1997-10-01,60411.520087435085,61432.363805333676,62549.57627825334,28208
19,1997-11-01,60463.547948370695,61523.10157882641,62602.45296991571,28208
20,1997-12-01,60729.4762329103,61798.64043077907,62883.840123233495,28208
21,1998-01-01,60909.69558861191,62019.812440633184,63103.32336835035,28208
22,1998-02-01,61190.75974868827,62236.15119431498,63345.49267106161,28208
23,1998-03-01,61324.93815735809,62415.5848381466,63435.861257756085,28208
24,1998-04-01,61648.87143649399,62740.394724471334,63870.81078143688,28208
25,1998-05-01,61671.170150448546,62700.89917789239,63751.14548820818,28208
26,1998-06-01,61920.51974392442,62957.59336637177,64024.134931442546,28208
27,1998-07-01,62226.92095930187,63267.26962298998,64357.02452387715,28208
28,1998-08-01,62580.08608488928,63619.421425613145,64727.53074934289,28208
29,1998-09-01,62905.117411995256,64014.329210317315,65034.20571985935,28208
30,1998-10-01,63256.629754515016,64355.931419427296,65419.67977255784,28208
31,1998-11-01,63740.891348144476,64833.60535251337,65894.46220556946,28208
32,1998-12-01,64208.178769129605,65334.07654698811,66519.19157942587,28208
33,1999-01-01,64746.530854658144,65814.12505376278,66849.42561579219,28208
34,1999-02-01,65086.39446935703,66154.7079136557,67272.188426908,28208
35,1999-03-01,65316.563697844205,66287.51933467906,67360.65917515775,28208
36,1999-04-01,65897.49889525307,66978.79606418495,68091.94039793598,28208
37,1999-05-01,65983.12130466798,67068.88993017949,68054.0651319584,28208
38,1999-06-01,66477.53367316783,67567.18102587096,68603.51520519792,28208
39,1999-07-01,67015.01692956526,68067.17288150758,69137.48031287649,28208
40,1999-08-01,67513.52903471232,68583.44498090925,69712.04843794944,28208
41,1999-09-01,67841.1564153621,68882.75724952965,70000.37800067083,28208
42,1999-10-01,68142.07884623337,69200.29200065862,70267.5059686863,28208
43,1999-11-01,68667.57101478569,69744.18908452547,70828.95563857138,28208
44,1999-12-01,69281.55727007623,70293.79169572686,71326.59938531782,28208
45,2000-01-01,69813.11419492634,70848.75386343458,71915.89446077873,28208
46,2000-02-01,70100.74502126643,71128.76807472418,72195.08605695823,28208
47,2000-03-01,70571.35976483936,71700.44864353564,72853.04990498902,28208
48,2000-04-01,70897.51150726966,71843.68368844295,72923.20221328881,28208
49,2000-05-01,70926.83889427604,72069.97007292339,73166.14385639383,28208
50,2000-06-01,71269.10144144017,72387.81755681551,73444.18296054513,28208
51,2000-07-01,71742.6741690907,72837.78829980931,73984.96490031014,28208
52,2000-08-01,72361.67931871377,73400.00576571841,74500.83206156851,28208
53,2000-09-01,72927.06243182634,73986.54806428675,75061.34751061638,28208
54,2000-10-01,73257.62483823502,74385.46328748275,75527.97282129225,28208
55,2000-11-01,73735.13033435505,74735.80822625756,75793.08114549489,28208
56,2000-12-01,74045.96979122842,75137.40309711343,76303.4637266574,28208
57,2001-01-01,74413.74348626363,75460.0534519925,76484.38812412634,28208
58,2001-02-01,74621.77181153759,75710.83724804639,76817.3425121177,28208
59,2001-03-01,75028.21267644511,76086.69638874375,77184.00962443855,28208
60,2001-04-01,75152.0368045965,76209.54555127982,77278.86471869845,28208
61,2001-05-01,75137.88053898072,76196.83055687089,77201.17965051798,28208
62,2001-06-01,75344.99636784801,76374.12343160441,77506.20436110559,28208
63,2001-07-01,75604.69923735796,76648.50577655727,77698.4549772885,28208
64,2001-08-01,76008.88934530634,76996.7580013265,78075.37226425779,28208
65,2001-09-01,76273.11906739438,77286.81059598568,78302.63787940123,28208
66,2001-10-01,76468.15925886294,77461.38567169613,78515.93179025322,28208
67,2001-11-01,76593.39309597533,77673.83622012445,78716.46871627471,28208
68,2001-12-01,76914.58274051636,77930.73009303756,78951.79857721085,28208
69,2002-01-01,77089.49844365893,78132.63562455028,79258.28287608041,28208
70,2002-02-01,77294.91088222954,78329.70789989189,79346.00331058183,28208
71,2002-03-01,77462.32456844057,78491.73956328833,79603.87035959202,28208
72,2002-04-01,77765.189173277,78797.28297127044,79876.32307583501,28208
73,2002-05-01,77680.5425812339,78739.14244565251,79796.2241153484,28208
74,2002-06-01,77902.5964148078,78976.5701557908,80049.32938010043,28208
75,2002-07-01,78177.15202706103,79267.6014333697,80304.87053430837,28208
76,2002-08-01,78559.14788137117,79600.4867576521,80691.0596262378,28208
